date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
102年 9月,4523,3400,1698,2442,2191,2607,450,533,419,1112,488,571,471,862,322,538,55,441,526,367,57,5
102年 10月,4504,3544,1791,2377,2385,2515,437,541,465,1060,583,626,542,899,326,478,75,481,570,384,63,11
102年 11月,4221,3510,1724,2214,2086,2708,416,436,410,1108,543,599,514,796,290,579,75,450,446,366,38,4
102年 12月,4189,3374,1828,2310,2015,2586,525,611,462,1019,472,649,427,854,330,497,55,467,441,322,51,9
103年 1月,5404,4177,2415,3636,2390,3288,634,705,927,1381,621,757,552,1061,357,670,89,618,819,405,66,6
103年 2月,4155,2955,1483,2849,2092,3003,456,514,519,1072,482,656,530,753,318,509,64,494,573,321,70,-
103年 3月,4516,3399,1478,2852,2285,2739,411,509,667,1020,503,581,429,881,422,549,82,515,475,317,58,9
103年 4月,4254,3338,1415,2447,2393,2831,486,566,635,1118,547,683,473,757,313,626,95,583,463,384,59,6
103年 5月,3900,3501,1447,1956,2345,2595,528,582,538,1105,538,592,531,713,133,522,96,631,515,316,70,3
103年 6月,3861,3647,1415,1708,2385,2582,545,608,560,1024,509,637,553,779,153,583,82,530,585,295,62,6
103年 7月,3909,3606,2069,2026,2345,2563,531,547,506,1170,552,660,570,766,158,547,115,590,612,358,49,4
103年 8月,3841,3500,1848,2135,2108,2375,485,479,408,1044,487,609,503,799,439,514,99,536,526,373,70,3
103年 9月,3575,3361,1795,2166,2063,2424,508,569,431,1040,501,615,521,793,375,507,88,495,536,359,55,3
103年 10月,3656,3274,1802,2175,2097,2477,511,500,357,985,491,616,505,743,342,486,67,465,495,329,43,6
103年 11月,3545,3333,1508,2014,1927,2453,420,445,367,1103,457,620,514,687,239,454,64,363,464,316,89,4
103年 12月,3536,3100,1429,2252,1941,2267,484,526,508,1019,488,555,441,922,265,411,165,398,456,334,89,118
104年 1月,3284,3390,1555,2129,1995,2055,482,467,530,995,509,453,364,743,212,407,70,430,476,267,183,6
104年 2月,4609,3477,2098,3013,2342,3128,742,733,673,1468,703,898,678,1153,357,544,106,580,832,431,65,2
104年 3月,3850,3134,1565,2540,2190,2410,502,435,498,1155,560,619,530,886,233,473,67,472,415,333,44,3
104年 4月,3653,2933,1685,2355,2177,2216,501,517,579,1182,481,693,495,878,231,475,101,502,433,301,47,4
104年 5月,3998,3241,1626,2221,2038,2163,635,528,535,1050,604,554,501,787,289,451,59,516,455,311,63,8
104年 6月,3787,3572,1602,2275,2132,2157,581,503,534,1092,512,594,510,875,362,467,95,485,413,325,76,5
104年 7月,3870,3322,1629,2186,2293,2207,558,467,675,1226,617,617,534,814,322,512,88,501,431,326,51,4
104年 8月,4107,3487,1720,2282,2217,2143,597,557,514,1144,562,724,516,918,319,499,87,557,431,330,59,7
104年 9月,3830,3321,1744,2291,2225,2097,569,497,562,1157,580,679,528,785,302,456,66,494,456,343,71,3
104年 10月,3836,3285,1755,2119,2251,2160,596,564,384,1169,602,729,491,782,338,465,81,498,444,302,71,4
104年 11月,3962,3249,1752,2115,2281,2208,521,462,320,1110,562,618,531,898,242,461,88,479,431,359,120,22
104年 12月,3870,3169,1409,2078,2014,2065,504,512,481,1118,480,525,446,838,237,446,73,456,397,298,90,8
105年 1月,3597,3119,1520,2098,1840,1931,424,504,459,1092,559,556,515,828,149,421,90,383,360,245,112,2
105年 2月,3246,2828,1525,2086,1818,1777,526,475,444,1023,552,648,478,794,267,432,85,417,451,309,64,2
105年 3月,3811,3307,1839,2353,2139,2239,598,644,506,1186,593,604,545,874,272,493,83,493,476,354,64,7
105年 4月,3744,3264,1576,2451,2163,2157,545,514,495,1165,558,627,547,946,291,481,86,469,430,329,81,10
105年 5月,4224,3476,2040,2562,2261,2317,659,570,558,1241,603,728,520,934,241,525,91,554,497,336,71,7
105年 6月,3806,3295,1838,2181,2111,2057,648,500,460,1158,494,610,526,838,258,482,113,495,464,354,77,2
105年 7月,3963,3486,1848,2488,2143,2398,787,624,625,1366,631,716,616,973,268,546,83,602,470,358,86,6
105年 8月,4160,3584,1643,2400,2190,2469,722,624,528,1348,621,751,525,737,293,575,88,565,434,323,104,8
105年 9月,3490,3057,1703,1955,1856,1994,546,547,494,1217,443,561,414,594,258,493,74,442,325,265,72,8
105年 10月,3907,3361,1786,2353,2142,2154,708,621,568,1240,593,719,423,962,269,590,80,511,392,309,97,7
105年 11月,3681,3607,1545,2287,2119,2441,766,588,481,1343,636,672,489,1039,257,536,82,621,391,309,82,8
105年 12月,3421,3386,1209,2028,1924,2104,633,531,299,1044,444,594,532,969,268,531,100,444,334,293,89,4
106年 1月,3578,3454,1350,2221,2026,2201,689,549,495,1345,573,745,511,1047,255,504,115,525,515,311,102,7
106年 2月,2995,2821,1431,1934,1811,1903,541,465,461,1112,452,527,435,829,144,419,78,403,336,269,62,3
106年 3月,3628,3315,1758,2258,2273,2432,725,604,424,1224,591,619,546,939,234,480,104,456,412,335,88,3
106年 4月,3426,2925,1602,2072,2123,2044,560,595,340,1048,507,584,466,776,173,435,72,416,363,281,95,4
106年 5月,3679,3178,1881,2480,2178,2609,623,715,530,1120,494,596,471,927,180,430,82,481,400,295,86,7
106年 6月,3483,2959,1798,2023,2053,2475,647,534,537,1067,463,568,447,747,170,516,89,458,431,336,53,6
106年 7月,4224,3418,1955,2441,2462,2534,728,680,652,1387,653,760,545,970,260,521,98,670,255,436,85,7
106年 8月,4233,3151,1880,2685,2445,2785,731,682,646,1354,663,773,583,1098,218,503,87,664,244,440,68,7
106年 9月,3465,3258,1739,2183,2094,2356,692,595,407,1277,524,704,532,954,244,506,95,555,364,313,76,2
106年 10月,3677,3390,2340,2049,2154,2340,614,559,503,1185,516,654,502,756,178,451,75,523,277,201,82,6
106年 11月,3717,3230,1513,2152,2002,2380,566,600,567,1127,534,686,514,828,256,467,68,499,306,253,56,7
106年 12月,3338,3066,1504,2027,1830,2164,498,454,339,943,438,511,484,884,221,407,66,420,344,281,68,6
107年 1月,3572,3116,1779,2207,2106,2343,538,514,450,1010,548,602,463,841,192,585,92,447,325,307,61,2
107年 2月,2859,2467,1412,1663,1595,1918,534,399,428,874,447,526,400,752,249,333,71,386,273,257,53,3
107年 3月,3641,3279,2004,2329,2132,2300,630,572,451,1105,551,656,477,1070,267,526,75,545,412,325,75,8
107年 4月,3477,3400,1754,2127,2151,2204,585,618,351,1229,505,748,460,965,257,572,68,526,353,268,80,12
107年 5月,3578,3484,1870,2200,2228,2198,635,610,408,1206,561,828,601,983,231,516,85,530,468,305,79,6
