date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
103年 12月,187,226,13,31,155,190,44,17,14,34,14,14,25,35,5,14,2,24,35,－,2,－
104年 1月,222,256,9,32,165,189,36,27,8,57,17,21,25,31,6,15,3,26,28,－,4,－
104年 2月,97,151,1,22,99,123,33,15,8,35,14,14,16,21,2,7,2,11,13,－,2,－
104年 3月,234,248,4,29,185,186,52,36,15,52,23,18,29,40,9,15,2,21,26,1,9,－
104年 4月,185,213,2,23,192,180,45,28,17,51,20,15,22,36,6,20,8,21,25,1,4,－
104年 5月,213,241,6,21,189,166,43,27,10,58,23,13,31,31,3,20,4,22,23,－,4,－
104年 6月,194,220,6,10,164,197,51,37,20,42,21,13,27,44,5,13,3,21,26,－,7,－
104年 7月,166,225,11,26,215,204,48,26,13,46,26,23,30,28,8,10,2,21,14,－,9,－
104年 8月,201,199,1,26,156,155,49,26,9,41,18,21,26,30,5,15,6,18,18,－,3,－
104年 9月,166,218,－,17,159,158,35,22,15,50,10,27,29,22,9,8,1,19,28,－,5,－
104年 10月,194,205,25,15,143,177,44,25,8,45,19,28,31,42,11,11,2,19,25,－,4,－
104年 11月,143,196,24,31,163,159,59,32,3,45,13,40,27,51,7,19,1,24,32,－,4,－
104年 12月,240,260,25,32,182,169,40,28,11,43,24,22,29,50,8,10,2,28,25,－,8,－
105年 1月,175,256,18,21,171,171,47,28,23,39,18,21,22,27,5,17,1,25,34,1,6,－
105年 2月,151,172,29,21,127,127,22,33,8,38,9,28,18,23,4,8,2,10,16,1,5,－
105年 3月,209,262,33,20,192,197,47,32,15,60,24,26,32,33,5,10,3,22,39,2,7,－
105年 4月,173,261,18,32,167,155,35,29,18,65,10,26,34,32,5,6,3,26,25,－,4,－
105年 5月,200,278,13,35,190,213,43,32,17,69,15,37,31,35,12,12,1,21,24,－,9,－
105年 6月,163,254,34,19,124,189,42,38,12,55,10,32,27,42,7,12,3,26,30,－,5,1
105年 7月,176,239,4,12,140,193,44,24,17,64,20,14,30,29,11,9,5,27,20,－,7,1
105年 8月,171,245,7,21,196,173,38,22,20,54,16,27,27,10,7,17,5,12,15,1,5,－
105年 9月,145,198,1,19,128,167,41,39,19,54,8,14,19,15,6,24,3,25,13,－,2,1
105年 10月,139,243,14,8,181,155,46,38,12,57,16,32,23,43,13,22,6,23,6,1,4,－
105年 11月,152,228,13,10,187,193,40,39,16,41,11,42,37,44,9,13,5,26,12,1,5,－
105年 12月,162,252,33,15,182,192,37,28,2,48,22,29,30,38,10,24,4,26,8,3,2,－
106年 1月,121,216,－,15,142,150,50,36,6,54,20,22,24,43,10,7,7,21,5,1,5,－
106年 2月,135,221,40,26,114,174,44,17,5,48,12,27,21,36,4,19,2,20,10,－,1,－
106年 3月,128,279,70,18,185,221,37,40,10,58,21,23,32,37,9,14,2,32,16,1,7,－
106年 4月,149,256,75,13,159,189,43,34,1,53,14,40,27,44,4,13,3,22,16,1,7,－
