date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
99年 5月,72,49,42,49,37,99,4,14,4,20,7,17,6,22,5,10,－,6,4,6,－,－
99年 6月,73,49,38,53,39,83,3,9,11,9,2,9,14,28,2,6,－,6,－,10,－,－
99年 7月,87,40,44,30,50,116,9,13,2,16,8,10,11,16,2,6,－,9,6,4,－,－
99年 8月,105,47,62,29,50,116,4,22,3,18,8,10,12,29,7,8,1,8,14,8,2,－
99年 9月,102,52,41,18,55,89,5,10,5,18,8,4,5,30,2,6,－,5,2,3,2,－
99年 10月,79,43,25,26,41,92,2,12,4,10,8,3,6,18,3,5,－,14,11,2,－,－
99年 11月,71,47,42,34,36,74,8,9,2,8,11,5,4,17,4,5,－,3,4,3,1,－
99年 12月,76,36,27,26,35,59,6,2,3,13,9,2,4,18,4,12,1,4,6,1,1,1
100年 1月,66,45,32,24,32,115,3,10,5,10,11,4,11,19,2,7,－,5,3,3,－,－
100年 2月,58,27,14,14,22,73,4,7,3,11,3,8,5,18,2,6,1,4,5,2,－,－
100年 3月,76,30,29,26,38,103,5,5,6,8,5,5,8,13,3,13,－,7,1,4,2,－
100年 4月,54,38,42,19,33,93,2,11,10,12,5,5,9,20,2,4,－,6,2,3,2,－
100年 5月,82,36,39,41,31,78,5,14,6,21,10,5,7,31,6,1,1,10,8,4,3,－
100年 6月,81,39,34,31,31,50,3,4,3,8,4,3,6,13,8,7,－,2,2,3,－,－
100年 7月,81,39,20,30,32,56,5,8,8,12,6,4,5,12,5,3,1,8,13,2,－,－
100年 8月,86,41,25,26,31,58,4,9,5,18,3,5,7,24,3,3,4,6,12,5,1,－
100年 9月,52,42,23,41,29,63,3,9,2,1,9,6,9,11,1,2,1,7,6,1,1,－
100年 10月,79,36,26,38,29,75,3,13,5,4,12,8,3,17,1,1,1,11,4,4,－,－
100年 11月,62,39,16,27,26,29,2,5,4,11,4,6,4,13,2,4,－,7,1,4,－,－
100年 12月,64,22,13,25,34,39,－,5,5,6,9,6,4,14,3,2,－,9,－,1,1,－
101年 1月,62,17,20,19,24,37,2,8,5,12,12,3,4,12,2,4,1,8,1,2,1,－
101年 2月,82,33,13,30,21,41,6,7,2,12,9,6,3,16,－,4,－,11,2,6,－,－
101年 3月,75,36,17,30,30,35,6,7,4,5,13,7,8,15,1,5,1,9,3,1,2,－
101年 4月,78,31,34,31,31,50,5,8,－,9,8,4,5,23,1,8,3,3,2,5,－,－
101年 5月,86,38,15,32,22,50,1,2,3,9,10,－,5,6,－,8,－,11,12,2,－,－
101年 6月,47,30,13,20,24,27,6,5,3,13,10,7,5,7,2,2,－,11,8,3,－,－
101年 7月,71,33,26,48,37,25,10,4,3,12,10,5,9,1,1,8,1,6,4,1,1,－
101年 8月,89,25,18,24,26,31,8,6,10,12,7,6,6,9,1,4,5,6,5,4,－,－
101年 9月,80,50,20,19,48,30,8,7,6,16,7,6,9,8,1,3,－,9,11,4,3,－
101年 10月,61,36,12,35,19,36,3,2,4,11,13,5,2,16,4,5,5,7,5,4,1,－
101年 11月,51,29,9,16,22,18,3,1,11,11,13,2,5,4,1,2,1,10,11,1,2,－
101年 12月,48,23,16,12,25,29,2,2,8,14,4,4,3,1,1,2,－,8,12,1,1,－
102年 1月,55,23,11,18,19,24,5,4,6,10,3,3,7,1,4,3,－,9,2,2,－,－
102年 2月,36,33,14,11,24,22,3,4,5,8,7,5,7,2,5,3,－,10,9,2,－,－
102年 3月,42,27,12,17,21,18,8,2,1,4,14,4,8,7,－,4,－,7,5,3,－,1
102年 4月,40,26,19,14,20,25,5,3,4,6,5,3,1,9,－,7,－,7,6,4,1,－
102年 5月,29,32,12,32,27,25,9,7,9,8,4,4,2,7,2,12,1,13,5,2,2,－
102年 6月,24,25,12,17,21,27,5,4,4,12,9,6,6,4,－,3,1,5,8,2,1,1
102年 7月,32,22,14,11,20,30,8,2,1,13,15,4,3,5,1,6,1,8,8,1,1,1
102年 8月,28,36,11,19,34,29,5,9,5,10,4,3,5,7,2,3,1,4,8,2,－,－
102年 9月,26,29,11,18,31,24,4,4,2,13,10,3,6,2,3,3,－,6,8,3,1,－
102年 10月,46,36,22,17,21,12,4,3,4,9,7,－,8,6,－,8,1,3,6,2,－,－
102年 11月,33,34,16,13,16,17,5,5,1,11,5,3,4,7,4,5,－,6,2,4,－,－
102年 12月,22,23,17,13,15,23,6,1,2,11,8,6,7,2,4,3,－,8,9,2,2,－
103年 1月,35,29,22,17,37,18,4,4,3,9,5,4,3,1,2,7,－,6,8,2,1,－
103年 2月,32,23,11,16,20,24,3,2,－,7,4,6,6,2,－,4,－,4,8,－,－,－
103年 3月,27,36,11,17,22,15,5,2,2,14,8,9,4,3,1,3,－,7,9,4,－,－
103年 4月,31,36,6,10,24,29,5,1,3,14,8,5,4,2,1,8,－,8,5,1,1,－
103年 5月,13,15,6,12,27,15,7,6,5,12,6,6,8,7,－,11,－,5,8,4,1,－
103年 6月,30,35,16,11,27,13,5,3,7,8,12,9,6,2,－,5,1,9,6,4,3,－
103年 7月,28,37,6,11,23,28,6,4,7,11,10,5,5,8,－,3,1,3,9,1,－,1
103年 8月,23,42,8,13,27,22,12,1,2,16,3,5,7,－,－,5,－,6,6,3,－,－
103年 9月,41,30,7,12,28,22,9,3,6,10,8,2,3,－,－,7,－,3,5,3,－,－
103年 10月,23,28,15,10,25,14,1,2,2,7,8,4,5,7,－,3,－,4,6,1,1,1
103年 11月,29,26,4,12,19,13,7,5,7,10,4,1,5,2,1,3,1,3,3,3,－,－
103年 12月,27,37,6,15,35,14,7,3,－,4,4,－,5,3,－,1,－,5,3,1,－,－
104年 1月,24,24,8,16,19,18,4,3,7,9,6,1,5,3,－,7,1,2,4,2,1,－
104年 2月,20,14,9,4,19,5,6,1,3,7,2,2,4,4,1,3,－,3,－,2,1,－
104年 3月,25,26,2,10,25,15,6,3,3,10,－,6,6,4,－,3,2,3,2,1,2,－
104年 4月,20,25,4,13,28,21,4,3,2,10,6,8,6,2,－,－,1,9,6,3,1,－
104年 5月,20,21,6,11,23,16,6,7,1,13,1,5,7,1,2,－,1,10,6,2,－,－
104年 6月,16,23,13,13,15,13,5,8,1,14,8,1,5,4,－,2,1,14,4,7,－,－
104年 7月,21,17,13,11,25,13,6,3,2,7,7,1,11,2,－,7,－,6,3,2,1,－
104年 8月,21,18,11,12,18,14,3,1,3,8,6,4,10,2,－,4,－,7,8,1,－,－
104年 9月,21,29,8,16,16,17,4,5,3,15,10,2,1,2,－,4,1,3,7,4,2,－
104年 10月,31,29,12,20,29,29,7,5,2,9,10,5,3,3,－,5,－,8,2,3,1,－
104年 11月,25,24,15,16,23,16,5,4,3,11,4,1,3,3,1,3,－,10,2,2,1,－
104年 12月,26,23,7,11,17,16,4,6,－,8,2,3,7,7,1,2,1,6,5,3,1,－
105年 1月,26,15,8,9,17,17,4,6,1,13,3,3,2,7,－,2,－,－,3,2,1,－
105年 2月,19,17,15,10,8,13,－,3,1,11,3,4,2,6,－,5,－,5,－,－,－,－
105年 3月,16,17,10,14,14,16,8,1,7,4,2,3,6,2,1,1,1,3,3,1,－,－
105年 4月,21,17,6,14,14,14,6,3,3,19,2,5,1,4,1,1,－,5,2,3,2,－
105年 5月,27,19,14,18,19,11,4,8,2,6,4,1,4,2,－,3,－,6,4,3,1,－
105年 6月,24,15,12,12,14,14,3,2,3,12,7,1,3,3,－,2,1,2,4,2,2,－
105年 7月,31,19,9,16,13,10,8,2,1,6,3,3,10,3,－,6,－,4,1,3,1,－
105年 8月,14,13,13,13,13,17,3,3,1,4,6,1,5,－,2,6,1,4,－,2,2,－
105年 9月,15,26,8,8,9,10,1,3,2,7,3,4,1,2,－,6,－,10,4,6,－,－
105年 10月,15,20,6,13,10,24,2,5,1,6,5,1,3,6,－,9,1,4,3,1,1,－
105年 11月,15,22,10,11,13,24,1,3,1,3,3,4,3,4,－,2,－,3,8,3,－,－
105年 12月,8,18,2,9,16,11,1,8,2,4,6,10,7,3,1,5,1,5,2,1,1,－
106年 1月,12,20,2,7,7,12,3,3,1,4,2,4,3,1,－,5,2,4,1,1,2,－
106年 2月,8,13,2,6,8,15,4,5,3,5,5,－,4,5,－,4,1,6,－,2,－,－
106年 3月,17,16,2,6,7,21,6,2,2,3,5,3,4,2,1,8,－,3,－,2,2,－
106年 4月,14,14,6,10,9,20,1,1,1,6,6,2,3,4,1,3,－,4,2,2,－,－
106年 5月,10,16,4,9,11,17,1,3,5,4,6,2,2,7,－,3,－,6,1,2,2,－
106年 6月,18,14,10,11,6,19,－,5,3,4,4,4,4,6,－,4,－,4,2,1,－,－
106年 7月,13,15,9,3,9,19,2,3,1,7,5,5,1,5,1,－,－,5,1,3,1,－
106年 8月,24,14,4,11,14,12,4,5,2,4,3,4,5,2,1,3,1,5,－,2,2,－
106年 9月,12,10,9,5,8,16,2,1,1,3,4,2,6,1,－,5,3,8,－,3,－,－
106年 10月,12,20,16,14,4,13,1,－,5,3,5,4,3,2,－,6,1,6,－,2,－,－
106年 11月,8,6,7,11,3,10,2,2,－,7,10,1,2,3,－,4,－,6,－,2,－,－
106年 12月,8,6,5,8,12,9,2,－,1,3,7,－,3,1,2,1,1,1,1,2,－,－
107年 1月,6,16,4,6,10,7,5,－,2,4,3,2,4,1,－,4,1,3,－,1,2,－
107年 2月,12,6,6,7,7,10,4,－,－,4,4,－,－,3,－,2,－,4,1,1,1,－
107年 3月,11,12,6,8,7,7,6,－,4,2,5,2,3,4,－,4,－,5,－,3,2,－
107年 4月,10,10,2,7,5,10,1,3,1,2,2,4,5,3,1,1,－,5,1,1,2,－
107年 5月,16,15,11,7,8,6,4,1,－,6,3,4,3,4,－,5,－,4,－,2,1,－
107年 6月,13,9,2,5,6,6,3,2,1,6,4,3,4,4,－,3,－,3,－,2,－,－
107年 7月,13,13,1,10,15,7,2,2,3,2,5,3,2,4,1,2,1,3,1,2,－,－
107年 8月,13,7,8,8,5,7,3,1,－,2,6,2,1,5,－,5,1,6,1,3,－,－
