date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
103年 11月,175,194,13,61,86,122,27,13,11,37,13,17,19,15,8,22,3,14,25,18,4,1
103年 12月,208,194,6,57,90,113,12,16,14,29,19,14,21,21,9,20,6,12,22,22,4,1
104年 1月,220,203,12,56,101,101,19,22,15,30,27,24,31,24,6,18,7,23,17,12,2,2
104年 2月,122,139,1,39,54,51,19,14,11,40,22,13,23,25,5,11,3,17,12,11,2,1
104年 3月,201,216,13,67,94,120,28,17,7,48,25,6,34,25,11,14,5,24,18,14,4,－
104年 4月,183,169,4,55,73,90,18,30,22,55,22,19,31,22,9,15,10,23,20,16,5,1
104年 5月,171,202,7,53,92,116,23,18,16,50,31,21,29,24,13,13,6,25,22,17,7,－
104年 6月,170,190,10,62,85,107,23,19,15,36,22,18,29,30,20,20,5,20,19,15,9,－
104年 7月,184,216,8,40,88,106,30,15,19,47,30,19,22,31,17,11,8,27,23,19,4,1
104年 8月,193,191,4,56,81,93,24,20,19,53,27,15,29,23,17,16,8,17,21,15,3,－
104年 9月,178,203,5,62,82,94,16,21,27,46,19,16,39,13,5,17,8,23,29,15,9,1
104年 10月,176,202,18,63,87,89,22,23,8,35,28,24,32,30,16,12,11,22,24,7,5,－
104年 11月,181,173,13,70,88,99,30,13,11,56,15,19,30,22,17,9,8,26,27,15,6,1
104年 12月,237,185,7,73,71,84,16,25,15,51,16,23,23,27,11,23,8,17,19,14,6,－
105年 1月,190,219,8,65,74,84,23,20,14,36,25,21,21,24,6,14,5,19,17,15,8,1
105年 2月,142,192,6,52,68,52,19,23,7,35,15,17,23,23,8,11,8,27,17,20,3,1
105年 3月,218,176,23,68,90,80,20,27,7,55,25,14,35,35,10,10,4,30,22,24,1,2
105年 4月,156,189,11,49,77,113,22,21,8,28,16,29,29,21,9,13,9,24,18,16,7,－
105年 5月,170,206,10,87,111,113,27,17,16,65,28,22,28,31,9,20,8,20,23,13,3,－
105年 6月,190,222,19,72,94,100,37,26,14,50,31,27,37,35,12,9,5,20,27,19,9,1
105年 7月,168,236,4,64,107,97,30,30,14,65,20,19,28,25,7,17,10,31,31,6,6,－
105年 8月,175,227,10,72,93,109,31,26,17,65,29,22,39,6,14,17,11,32,25,16,6,1
105年 9月,166,206,11,61,85,106,25,24,16,56,31,20,23,9,9,14,8,22,21,20,5,2
105年 10月,184,228,17,67,88,94,15,28,15,71,22,29,17,32,6,26,8,28,17,25,10,－
105年 11月,155,244,22,71,99,93,30,37,11,61,24,30,32,32,6,11,2,19,20,17,12,－
105年 12月,180,214,18,71,89,87,21,24,6,47,24,15,26,36,8,29,7,26,24,17,4,－
106年 1月,150,189,9,63,98,96,18,18,17,48,28,12,22,21,9,20,6,24,22,14,7,－
106年 2月,140,201,15,43,74,111,27,18,10,52,17,15,24,27,7,15,12,17,16,17,3,－
106年 3月,159,167,29,64,86,132,26,33,18,53,30,24,28,22,8,15,11,28,18,17,11,－
106年 4月,147,197,24,53,85,122,14,24,6,42,20,19,35,32,4,18,6,21,14,13,5,－
106年 5月,140,181,35,63,88,113,27,20,21,63,27,19,27,31,3,16,7,24,23,12,6,2
106年 6月,131,208,37,67,76,127,21,21,19,44,21,37,25,26,4,14,6,41,24,22,4,2
106年 7月,148,202,30,72,98,117,26,24,15,55,22,27,31,20,3,17,4,34,3,23,4,1
106年 8月,160,189,21,70,102,146,17,28,8,45,35,23,29,42,9,28,5,40,－,22,2,－
106年 9月,148,222,22,69,98,124,21,20,15,49,23,25,30,36,6,19,9,24,19,10,6,－
106年 10月,197,233,28,54,95,124,28,32,12,46,27,22,25,21,4,13,8,36,18,5,9,1
106年 11月,192,236,15,34,65,121,22,34,16,41,17,17,31,19,16,20,5,26,14,16,1,－
106年 12月,165,199,11,58,102,122,28,18,10,49,28,26,32,29,6,22,8,27,25,11,6,1
107年 1月,191,188,11,60,105,141,23,21,5,41,19,26,29,41,7,26,8,24,18,17,6,－
107年 2月,146,147,10,57,80,120,27,6,6,38,27,14,24,21,10,14,4,17,13,13,4,－
107年 3月,189,200,23,65,115,125,34,27,5,52,25,20,24,26,14,25,8,20,27,19,5,－
107年 4月,184,245,16,62,97,119,29,23,2,46,30,37,26,27,12,18,8,28,28,8,4,－
107年 5月,173,198,4,65,110,133,19,28,7,50,29,31,21,25,6,19,6,24,29,13,8,1
107年 6月,152,271,8,74,96,108,33,25,11,55,28,12,25,19,7,28,3,28,31,27,2,－
107年 7月,168,221,15,77,97,116,29,18,11,50,27,14,21,23,9,29,6,27,27,18,3,2
107年 8月,201,220,24,71,98,127,22,24,14,54,24,13,32,13,12,25,7,38,18,17,3,－
107年 9月,200,227,12,54,93,129,19,15,12,57,22,16,23,8,16,26,5,30,9,11,12,2
107年 10月,227,221,20,83,94,144,32,30,18,39,24,17,24,17,8,29,5,26,32,8,6,－
107年 11月,190,209,9,53,83,107,30,22,14,49,19,12,28,12,5,32,4,24,25,6,2,1
107年 12月,226,223,8,66,85,117,17,18,24,46,25,8,29,6,13,20,5,24,28,17,1,－
108年 1月,174,206,13,53,99,155,26,21,17,63,17,15,15,17,17,39,5,25,23,16,2,1
108年 2月,151,224,9,70,105,112,23,15,10,43,21,9,20,9,12,24,5,19,15,13,5,－
108年 3月,225,227,1,61,115,147,24,31,13,60,35,17,26,21,14,33,6,35,26,20,5,－
108年 4月,215,242,11,70,94,127,19,26,8,59,18,9,31,21,15,36,5,28,26,23,6,－
108年 5月,185,239,24,76,123,134,30,25,11,63,35,23,23,26,9,36,13,31,39,12,4,2
108年 6月,187,169,25,75,100,109,26,26,2,45,37,27,33,20,5,24,12,30,32,18,4,－
108年 7月,251,252,20,78,110,125,30,26,20,56,31,28,41,31,10,27,8,21,21,18,2,1
108年 8月,194,231,30,88,103,123,27,22,14,68,39,25,24,32,7,24,9,35,30,10,4,2
108年 9月,197,186,13,105,102,119,30,23,26,65,21,29,30,39,14,26,12,19,19,18,5,1
108年 10月,233,214,7,77,78,145,28,27,21,80,30,12,18,30,13,21,7,25,24,21,4,－
108年 11月,216,244,7,79,82,143,20,19,17,76,14,17,19,41,10,23,7,23,10,9,3,2
108年 12月,202,189,11,87,75,148,34,18,22,68,26,25,24,30,7,14,5,23,17,15,3,－
109年 1月,164,230,13,62,69,106,37,12,17,44,14,23,18,31,5,20,6,25,19,12,5,2
109年 2月,164,234,8,101,75,136,23,18,9,54,26,19,24,27,10,13,8,17,32,12,6,－
109年 3月,177,227,3,92,89,136,31,30,11,51,27,25,37,17,7,28,5,26,42,27,5,－
109年 4月,224,204,2,91,93,105,26,23,7,58,20,15,26,13,8,24,9,26,30,17,4,－
109年 5月,228,237,9,46,103,110,42,25,6,69,17,12,26,24,12,25,7,34,31,24,5,－
109年 6月,196,209,3,53,89,118,29,21,11,54,18,15,15,22,14,25,9,31,23,13,3,1
109年 7月,178,212,5,74,103,89,24,25,17,79,22,9,24,38,12,22,5,17,16,21,5,－
109年 8月,155,218,15,58,87,152,36,24,16,66,29,19,29,26,9,22,9,17,20,16,4,－
109年 9月,118,205,10,84,107,146,17,27,15,67,38,11,27,16,7,27,12,20,18,12,8,3
109年 10月,160,225,7,110,84,106,29,12,23,44,31,9,24,22,7,22,6,20,16,9,3,－
109年 11月,180,230,6,85,87,110,36,28,23,110,43,11,24,26,17,12,12,39,22,15,6,－
109年 12月,196,248,2,77,105,128,45,23,22,99,38,10,32,31,9,28,7,33,41,32,2,1
110年 1月,183,300,12,79,107,110,45,24,17,60,26,20,28,26,10,17,5,40,27,17,5,2
110年 2月,120,175,22,56,71,72,49,23,6,59,22,11,24,18,11,15,2,22,17,17,6,－
110年 3月,174,197,8,99,93,176,43,25,18,74,28,15,29,27,12,34,1,28,26,25,4,－
110年 4月,195,208,6,90,110,142,37,19,5,37,24,20,30,21,14,18,7,33,24,10,7,1
110年 5月,220,251,10,98,113,171,25,25,15,50,33,16,31,32,9,29,7,41,21,15,6,－
110年 6月,150,127,22,64,93,126,24,19,23,38,30,16,39,27,6,19,3,26,23,11,4,1
110年 7月,156,155,39,81,87,129,22,34,20,51,25,20,22,46,5,18,5,27,23,12,3,－
110年 8月,169,201,27,92,83,122,26,29,14,44,26,17,30,32,10,18,4,45,38,9,5,1
110年 9月,198,188,10,92,68,114,24,23,21,60,32,22,19,23,8,27,4,30,16,17,3,1
110年 10月,153,198,19,99,93,103,29,23,22,44,29,19,30,13,7,20,7,20,24,15,4,1
110年 11月,198,159,31,128,93,92,39,30,26,55,29,24,31,31,9,26,6,25,32,17,5,1
110年 12月,219,181,23,126,93,117,24,24,11,69,32,14,19,37,11,27,10,38,41,24,5,－
111年 1月,142,195,20,83,76,76,26,23,16,69,26,16,28,41,10,23,11,26,25,17,2,－
111年 2月,124,163,10,69,76,71,25,14,12,68,21,13,25,31,10,17,5,19,24,13,1,1
111年 3月,175,181,10,88,100,88,29,21,14,86,39,20,24,28,18,23,6,23,30,21,1,1
111年 4月,173,192,46,97,106,95,40,62,26,65,27,47,31,32,14,31,4,29,43,14,8,2
111年 5月,265,195,326,107,117,192,31,46,23,72,34,80,36,61,42,39,9,36,39,15,4,－
111年 6月,171,183,99,60,70,66,33,36,33,8,33,29,26,47,18,17,11,46,17,20,4,－
111年 7月,205,209,118,75,82,129,34,30,24,27,26,41,29,42,27,45,4,34,25,15,4,2
111年 8月,182,202,91,86,87,74,35,33,22,17,28,25,19,37,13,24,9,36,30,14,6,2
111年 9月,174,175,49,99,94,86,32,25,33,48,36,34,29,35,12,29,2,37,17,15,12,－
111年 10月,172,206,76,120,89,88,35,40,14,30,32,34,27,43,17,37,11,39,27,18,4,2
111年 11月,187,201,71,91,90,122,25,37,18,73,23,24,24,52,20,27,7,26,22,14,3,2
111年 12月,177,196,73,111,100,161,30,45,36,70,26,28,33,45,15,30,6,27,43,17,4,1
112年 1月,136,185,37,92,69,90,29,31,34,42,19,37,29,43,16,26,5,20,19,9,4,－
112年 2月,167,170,55,75,113,82,27,25,24,51,37,20,19,46,11,32,9,32,36,16,3,1
112年 3月,211,184,88,104,116,74,34,17,26,57,40,49,24,53,34,41,14,57,56,25,6,1
112年 4月,191,234,31,104,84,69,31,16,30,82,38,30,24,41,16,36,6,27,22,15,4,－
112年 5月,213,231,131,104,146,107,25,26,27,62,24,35,32,60,21,25,8,53,32,13,3,1
112年 6月,142,196,34,53,103,69,37,19,23,83,35,23,26,61,15,28,14,27,26,24,4,1
112年 7月,186,223,115,92,89,45,36,31,23,87,28,23,30,37,16,21,9,46,21,23,6,1
112年 8月,191,219,82,96,87,87,29,15,35,78,31,24,27,39,13,22,4,27,25,15,4,2
112年 9月,214,199,143,96,108,73,25,26,8,66,37,21,21,33,17,18,8,38,17,19,4,－
112年 10月,258,206,100,116,88,118,30,15,23,58,35,24,27,51,14,36,9,36,33,9,11,1
112年 11月,216,203,102,110,86,73,23,21,38,78,39,24,30,38,16,27,6,34,42,22,2,－
112年 12月,165,262,40,112,101,78,21,5,37,73,28,24,27,52,12,33,9,40,22,24,4,－
113年 1月,151,203,48,90,91,80,27,20,40,67,20,24,24,56,16,35,5,37,30,19,2,2
113年 2月,118,169,30,79,72,50,26,13,28,45,26,23,25,37,6,28,9,26,18,12,6,1
113年 3月,124,163,51,66,96,39,20,10,25,56,26,18,27,31,13,34,14,19,40,17,4,－
113年 4月,161,233,72,83,92,77,25,26,25,54,42,26,19,51,7,26,7,35,46,7,1,3
113年 5月,11,193,47,58,78,62,33,12,14,50,22,15,29,52,9,25,3,25,25,21,8,1
113年 6月,27,203,37,45,89,68,24,26,18,47,27,45,29,35,3,21,6,36,21,16,3,2
113年 7月,84,208,17,47,68,55,38,18,14,62,45,38,19,39,3,33,9,28,22,17,1,3
113年 8月,131,269,16,169,91,81,38,20,20,49,47,21,32,44,3,31,14,25,29,18,5,2
113年 9月,403,265,288,251,172,237,49,52,64,104,42,66,33,73,24,41,2,54,69,22,5,2
113年 10月,472,269,272,287,165,299,55,47,49,104,29,76,34,64,20,48,8,42,69,18,8,1
113年 11月,371,274,251,255,126,325,51,44,63,86,43,69,38,64,22,48,7,46,55,20,5,1
113年 12月,422,311,244,264,141,271,46,58,44,103,38,46,36,63,26,59,8,42,55,19,3,－
